Descricao;Preco;;
LEITE EM PO ELEGE INTEGRAL 400G;9,99;65,00;7896079510198
LEITE EM PO LANGUIRU DELETAR;0,00;34,00;7891515929060
LEITE EM PO LANGUIRU DESNATADO 400G;10,80;9,00;7896648699316
LEITE EM PO LT ELEGE INTEGRAL 400G;9,95;4,00;7896079500588
NAN NESTLE SUPREME 800G;49,00;2,00;7613034968364
NESCAU 2,0 NESTLE ACTIGE 800G;14,75;1,00;7891000067178
NESCAU NESTLE LT 400G;6,99;13,00;7891000009437
TODDY INSTANTANEO ORIGINAL 400G;5,85;18,00;7894321711263
AVE SEARA FIESTA;12,97;143,73;000128
CORAÇAO DE FRANGO PERDIGAO KG;11,99;40,00;7891515977412
CORAÇAO DE FRANGO SADIA 2KG;20,95;7,00;7893000661172
CORAÇAO DE FRANGO SEARA KG;13,45;34,00;7894904018161
COXA S/COXA BF CONGELADO;6,90;784,97;000135
COXA S/COXA BOM FRANGO CONGELADO (DELETAR);5,99;36,00;000040
COXINHA DA ASA AGROSUL;8,20;31,23;000028
COXINHA DA ASA FRANGO SEVA 1kG;8,95;60,00;7898287561924
COXINHA DA ASA NAT 1KG;11,99;150,00;7898506323708
COXINHA DA ASA SADIA 1KG;12,99;2,00;7893000488878
COXINHA DA ASA SEARA 1KG;11,46;20,00;7894904197743
FILE DE COXA E SOBRECOXA NAT 1KG;12,98;2,00;7898506325276
FILE DE PEITO FRANGO PERDIGAO 800G;9,75;2,00;7891515430115
FILE DE PEITO FRANGO SEVA  KG;10,40;12,00;7898287561948
FILEZINHO NAT 1KG;13,25;64,00;7898506323692
FILEZINHO SADIA 1KG;10,99;1,00;7893000005945
FILEZINHO SEARA 1KG;9,99;13,00;7894904197736
FRANGO CONGELADO TEMPERADO MAISTER;10,90;18,49;38
PEITO DE FRANGO AGROSUL CONGELADO;6,60;152,93;000026
PEITO DE FRANGO BF CONGELADO;8,49;65,38;000130
PEITO DE FRANGO BOM FRANGO (DELETAR);6,60;18,00;000039
PEITO FRANGO AGROSUL S/P S/O (DELETAR);8,80;69,67;000079
SASSAMI FRANGO SEVA KG;9,98;21,00;7898287561917
CARNE SUINA CONG C/OSSO BISTECA;14,50;16,58;000098
CARNE SUINA COPA LOMBO BORRUSSIA;11,90;1,99;000127
CARRE SUINO LANGUIRU KG;13,99;17,80;000088
CARRE SUINO SCHENDER KG;13,40;52,91;000077
LINGUIÇA BORRUSSIA DEFUMADA;19,50;4,90;000119
PERNIL SUINO SCHENDER C/ PELE;11,90;33,18;000095
PERNIL SUINO SCHENDER S/ PELE;12,30;19,28;000116
TORRESMO BORRUSSIA SOLTO;15,50;5,59;000117
COSTELA BOVINA CALEGARRO EM TIRAS;15,96;18,56;000104
COSTELA BOVINA FRIBOI EM TIRAS;12,95;46,43;000102
COSTELA BOVINA FRIVASA;14,80;13,42;000121
COSTELA MINGA FRIBOI C/OSSO;14,40;19,21;000175
SOBREPALETA SUINA CONGELADA ADELLE KG;13,40;7,32;000120
BACON LANGUIRU KG;22,61;21,02;000048
BANHA DE PORCO SCHENDER 1,5KG;13,65;16,00;7898077680033
COSTELINHA DEFUMADA KG;27,00;3,97;000031
deletar;20,80;7,50;104
FIGADO MIUDOS;3,80;5,94;000037
FRANGO EXCELSIOR ESPECIAL KG;9,80;19,62;000093
LINGUICINHA SCHENDER;25,30;41,81;000032
PE DE PORCO DEFUMADO;7,90;1,38;000050
SALSICHAO MISTO SCHENDER;11,25;52,48;000034
SALSICHAO MISTO SCHENDER (NOVO);8,50;18,42;000164
SALSICHAO PURO SCHENDER;15,48;45,01;000035
TORRESMO BORRUSSIA PRENSADO;10,40;12,18;000105
AÇUCAR BAUNILHA FRITZ & FRIDA 500G;4,95;8,00;7890300107706
AÇUCAR BAUNILHA MONOPOL 35G;2,25;8,00;7898236721393
AÇUCAR CONFEITEIRO FRITZ & FRIDA 500G;4,48;10,00;7890300107683
AÇUCAR CONFEITEIRO VINOLAR 250G;2,95;3,00;7898409400421
AÇUCAR CRISTAL ALBER 1KG;4,85;235,00;7896414601437
AÇUCAR CRISTAL ALBER 5KG;0,00;81,00;7896414601420
AÇUCAR MASCAVO VIDA & SAUDE 500G;5,78;6,00;7898921864138
AÇUCAR REFINADO ALBER EX. FINO 1KG;4,85;155,00;7896414601444
AÇUCAR REFINADO ALTO ALEGRE 1KG;3,25;16,00;7896508200034
AÇUCAR REFINADO UNIAO 1KG;3,50;55,00;7891910000197
ADOÇANTE ZERO CAL 100ML;3,90;48,00;7896094910904
AGUARDENTE 7 CAMPOS DE PIRACICABA 7 970ML;5,67;26,00;7896044794608
AGUARDENTE CANINHA 51 965ML;9,25;19,00;7896002100014
CONHAQUE DREHER 900ML;12,28;10,00;7896010002133
VELHO BARREIRO 910ML;7,99;432,00;7896050200124
APARELHO BIC ACQUA3 MOVEL C/2UN;4,65;15,00;070330729872
APARELHO BIC COMFORT2  C/2UN;2,99;15,00;070330709485
APARELHO BIC COMFORT2 WOMEN C/2UN;5,78;4,00;070330713406
APARELHO BIC COMFORT3  C/1UN;4,25;298,00;070330717565
APARELHO BIC COMFORT3 NORMAL L4/P3;11,90;11,00;070330734395
APARELHO BIC CONFORT3 SOLEIL ROSA C/1UN;3,98;6,00;070330731806
APARELHO BIC SENSITIVE SHAVER C/2UN;2,30;7,00;070330703629
APARELHO BIC SENSITIVE UN;1,00;30,00;070330730298
APARELHO GILLETTE MACH 3 RECARREGAVEL;18,95;11,00;7702018001071
APARELHO GILLETTE MACH3 SENSITIVE C/1UN;8,49;3,00;7702018037803
APARELHO GILLETTE PRESTOBARBA 3 BRASIL;8,90;2,00;7702018325696
APARELHO GILLETTE PRESTOBARBA 3 C/1UN;4,25;92,00;7702018880409
APARELHO GILLETTE PRESTOBARBA 3 FEM C/2UN;8,90;9,00;7702018874781
APARELHO GILLETTE PRESTOBARBA 3 MASC C/2UN;10,85;7,00;7702018874729
APARELHO GILLETTE PRESTOBARBA 3 SENSE CARE C/2UN;7,29;2,00;7506339337525
APARELHO GILLETTE PRESTOBARBA EXCEL MASC C/2UN;11,95;7,00;7501009225003
APARELHO GILLETTE PRESTOBARBA REGULAR CT C/24;5,30;7,00;7891051026773
APARELHO GILLETTE PRESTOBARBA ULTRAGRIP C.MOVEL C/;5,30;17,00;7501009224174
APARELHO GILLETTE PRESTOBARBA ULTRAGRIP C/2UN;6,37;44,00;7501009222729
APARELHO GILLETTE PRESTOBARBA ULTRAGRIP P.SENSIVEL;3,98;3,00;7501009222743
APARELHO GILLETTE VENUS 3 LAMINAS C/2UN;10,99;3,00;7702018072392
APARELHO PROBAK C/2UN;4,45;7,00;7702018118823
APARELHO PROBAK deletar II 2UN;3,50;66,00;7891051028791
BARBEADOR DE METAL SANTA CLARA REF 2438;9,50;2,00;7897169224384
CARGA GILLETTE MACH3  REFIL 1UN;7,97;9,00;7702018084821
CARGA GILLETTE MACH3 C/2UN;22,25;19,00;047400179240
CARGA GILLETTE MACH3 SENSITIVE C/2UN;12,12;2,00;7702018037865
CARGA GILLETTE MACH3 UN;11,98;10,00;7506339399523
CARGA GILLETTE SENSOR EXCEL REFIL;7,49;41,00;7501009216544
KIT GILLETTE PREST/3 1 ESPUMA+ 4 APAR SENSITIVE;18,25;2,00;7500435000055
LAMINA WILKINSON CX C/3UN;1,90;58,00;7891051015210
ARROZ FRILY DOG 5KG;12,16;6,00;7890300009802
ARROZ INTEGRAL CALDO BOM 500G;3,95;1,00;7896273903291
ARROZ REI ARTHUR 1KG;2,87;62,00;7896754600220
ARROZ REI ARTHUR 2KG;5,59;360,00;7896754600213
ARROZ REI ARTHUR 5KG;13,98;99,00;7896754600206
ARROZ REI ARTHUR JAPONESA 1KG;6,99;82,00;7896754600336
ARROZ REI ARTHUR PARBO 1KG;2,87;109,00;7896754600305
ARROZ REI ARTHUR PARBO 5KG;13,98;26,00;7896754600329
ARROZ TIO ARTHUR PARBO 2KG;0,00;19,00;7896754600091
RISOTO CALDO BOM 4 QUEIJO 175G;5,29;3,00;7896273903956
RISOTO CALDO BOM CAMARAO 175G;5,29;3,00;7896273904090
CAIPIRINHA MARKOFF LIMAO 880ML;7,48;1,00;7896513078451
COCKTAIL NINNOFF MAÇA VERDE GFA 960ML;9,59;13,00;7897736407295
COCKTAIL NINNOFF RED F.VERMELHAS GFA 960ML;9,59;4,00;7897736407257
COCKTAIL PATRICIA DO SUL 790ML;3,98;40,00;7897736403204
ICE CHIAMULERA PERESTROIKA LIMAO 1L;8,75;18,00;7897736409749
ICE VODKA MIKS FRUTAS VERDES 275ML;4,65;21,00;7897736409657
ICE VODKA MIKS LIMAO/GENGIBRE 275ML;4,65;14,00;7897736409626
ICE VODKA MIKS MORANGO/ KIWI 275ML;4,65;12,00;7897736409640
VODKA MARKOFF COQUETEL 790ML;7,48;19,00;7896513078536
VODKA MARKOFF VIDRO ORIGINAL 950ML;18,15;3,00;7896513078345
VODKA NATASHA TRIDESTILADA 1L;17,45;23,00;7891125063000
WHISKY DRURYS 1L;27,99;1,00;7896010000139
WHISKY MARK EIGHT 1L;14,75;3,00;7896513078758
WHISKY NATU NOBILIS BLENDED 1L;33,75;5,00;7891050000309
BEBIDA LACTEA DALIA CHOCOLATE 200ML;1,50;83,00;732783810278
BEBIDA LACTEA DANETTE CHOCOLATE 200ML;1,75;14,00;7891025021117
BEBIDA LACTEA ELEGE CHOCOLATE 1L;5,85;59,00;7891515850524
BEBIDA LACTEA ELEGE CHOCOLATE KIDS 200ML;1,45;1.299,00;7896079510402
BEBIDA LACTEA ELEGE MORANGO KIDS 200ML;1,50;68,00;7896079510419
BEBIDA LACTEA LANGUIRU GAR S.DE FRUTAS 1L;4,49;3,00;7896648651284
BEBIDA LACTEA LANGUIRU GARRAFINHA MORANGO 200ML;1,70;102,00;7896648651321
BEBIDA LACTEA LANGUIRU SACHE COCO 1L;3,30;14,00;7896648650140
BEBIDA LACTEA SANTA CLARA CHOCOLATE 200ML;1,50;21,00;7896504301308
BEBIDA LACTEA SUSTAGEN NUTRIFERRO CHOCOLATE 190ML;2,85;3,00;7898946291988
BEBIDA LACTEA TODDYNHO CHOCOLATE 200ML;2,00;199,00;7894321722016
ENERGETICO BURN 1L;9,90;2,00;7894900401714
ENERGETICO FUSION E.DRINK 1L;8,90;2,00;7891991011808
INOVE I9 UVA VERDE 500ML;2,99;26,00;7894900110005
KAPO CHOCOLATE 200ML;0,00;25,00;7894900623703
NESCAU PRONTINHO 200ML  27UN;1,95;763,00;7891000379103
POWERADE DELETAR  UVA PET 500 ML;0,00;6,00;7894900500004
POWERADE PET LARANJA 500ML;3,89;17,00;7894900503005
POWERADE PET UVA 500ML;3,99;31,00;7894900501001
APERITIVO PARATI ORIGINAL 50G;1,65;52,00;7896011101019
BELVITA AO LEITE C/GRAOS DE AVEIA 90G;3,65;5,00;7622300800550
BELVITA AVELA CACAU 30G;3,45;9,00;7622300800406
BELVITA MAÇA CANELA 30G;3,45;8,00;7622300845995
BELVITA MEL CACAU 30G;3,65;9,00;7622300800529
BISC MARIA PARATI 370G;3,95;3,00;7896011102542
BISCOITO BEL CRACKER 85G;1,00;14,00;7896071007061
BISCOITO BISTEX CHOC. C/ MORANGO 300G;4,50;4,00;7896385006798
BISCOITO BISTEX DOCE DE MEL 360G;4,50;40,00;7896385006545
BISCOITO BISTEX GLACEADOS CHOCOLATE 300G;4,50;19,00;7896385006446
BISCOITO BISTEX ROSCA FRANCESA 360G;4,50;22,00;7896385006460
BISCOITO BISTEX SORTIDO 400G;4,50;25,00;7896385005357
BISCOITO BISTEX TORTA DE LIMAO 260G;2,75;2,00;7896385006583
BISCOITO CASAREDO LEITE 330G;3,49;18,00;7896408440592
BISCOITO CASAREDO LEITE 400G;3,80;5,00;7896408440356
BISCOITO CASAREDO MARIA CHOC 400G;4,49;1,00;7896408440950
BISCOITO CASAREDO SORTIDO 330G;3,90;20,00;7896408440585
BISCOITO CASAREDO YUPI DOCE DE LEITE 130G;1,50;25,00;7896408440431
BISCOITO COROA DUNI BLACK CHOCOLATE/BAUNILHA 120G;1,28;30,00;7898045279955
BISCOITO CORRIERI FOLHADO DOCE 300G;5,49;19,00;7896007420193
BISCOITO CORRIERI SORTIDO 400G;3,75;27,00;7896007420971
BISCOITO FILLER SAPECA CHOCOLATE 120G;1,09;26,00;7898045278873
BISCOITO ISABELA KUKI 400G;5,75;9,00;7896022054359
BISCOITO MARIA BISTEX  CHOCOLATE 360G;4,25;9,00;7896385006453
BISCOITO MARIA BISTEX 400G;4,25;25,00;7896385005333
BISCOITO MARIA BISTEX 800G;5,57;16,00;7896385005470
BISCOITO MARIA CORRIERI 360G;2,90;27,00;7896007420773
BISCOITO MARIA CORRIERI 720G;5,58;4,00;7896007421794
BISCOITO MARIA MOSMANN 400G;4,25;68,00;7896324274608
BISCOITO MARIA MOSMANN 800G;3,50;40,00;7896324257601
BISCOITO MARIA MOSMANN CHOCOLATE 400G;4,80;12,00;7896324274707
BISCOITO MARIA NINFA 740G;6,65;2,00;7896111424629
BISCOITO MERTZ AMANTEIGADO 300G;4,48;1,00;7898210381308
BISCOITO MERTZ AMENDOIM 350G;5,90;25,00;7898210380554
BISCOITO MERTZ BROA DE POLVILHO 200G;5,10;16,00;7898210380387
BISCOITO MERTZ CASADINHO CLASSIC 175G;4,99;6,00;7898210381377
BISCOITO MERTZ MANTEIGA 400G;5,35;41,00;7898210380028
BISCOITO MERTZ MERENGUE 150G;5,35;15,00;7898210380752
BISCOITO MERTZ MILHO 400G;4,48;1,00;7898210380875
BISCOITO MERTZ NATAL 350G;5,30;4,00;7898210380561
BISCOITO MERTZ PAO DE MEL 400G;5,35;12,00;7898210380769
BISCOITO MERTZ POLVILHO 140G;4,58;15,00;7898210380707
BISCOITO MERTZ POLVILHO 350G;4,65;9,00;7898210380745
BISCOITO MERTZ POLVILHO CEBOLA/SALSA 140G;4,58;6,00;7898210380813
BISCOITO MERTZ POLVILHO LINHAÇA 140G;5,35;4,00;7898210381070
BISCOITO MERTZ POLVILHO ROSQUINHA DE QUEIJO 140G;4,58;10,00;7898210380714
BISCOITO MERTZ POLVILHO/CHIA 140G;5,35;7,00;7898210381179
BISCOITO MERTZ QQ JUJU CLASSIC 175G;5,45;10,00;7898210381346
BISCOITO MERTZ ROSCA BRANCA 350G;5,30;8,00;7898210380066
BISCOITO MERTZ SEQUILHO C/CHOCOLATE 300G;4,48;3,00;7898210381292
BISCOITO MOSMANN AGUA E SAL 360G;4,25;92,00;7896324271614
BISCOITO MOSMANN CHAMPAGNE 180G;3,75;4,00;7896324299939
BISCOITO MOSMANN CREAM CRACKER 360G;4,80;28,00;7896324271683
BISCOITO MOSMANN SORTIDO 360G;4,35;31,00;7896324269628
BISCOITO NINFA BOLAÇHAO DE MEL 660G;4,85;5,00;7896111422939
BISCOITO NINFA CHOCOLATE 110G;1,20;40,00;7896111421543
BISCOITO NINFA CHOCOLATE BRANCO 110G;1,20;34,00;7896111421550
BISCOITO NINFA DUETTO 340G;4,25;33,00;7896111423820
BISCOITO NINFA MORANGO 110G;1,20;43,00;7896111421536
BISCOITO NINFA PINGO DE MEL 340G;4,25;19,00;7896111423837
BISCOITO NINFA SAUDUTTI GERGELIM 330G;3,20;5,00;7896111424315
BISCOITO NINFA SORTIDO PC 720G;6,95;8,00;7896111422434
BISCOITO PARATI HOT CRACKER PRESUNTO 150G;3,31;1,00;7896011105505
BISCOITO PARATI LEITE 370G;4,35;2,00;7896011102597
BISCOITO PARATI MAIZENA 400G;4,45;11,00;7896011102580
BISCOITO PARATI MINI CHOCOLATE E AVELA 150G;3,40;8,00;7896011104720
BISCOITO PARATI MINI GOIABINHA 100G;3,40;6,00;7896011104386
BISCOITO PARATI OMNI MINUETO CHOC/BAU. 330G;5,50;28,00;7896011101866
BISCOITO PARATI ZOO CARTOON CHOCOLATE 140G;1,60;3,00;7896011101880
BISCOITO PARATI ZOO CARTOON CHOCOLATE/BRANCO 140G;1,60;1,00;7896011102849
BISCOITO PARATI ZOO CARTOON CHOCOLATE/MORANGO 140G;1,60;6,00;7896011102832
BISCOITO PIRAQUE AGUA E GERGELIM 200G;4,05;3,00;7896024721600
BISCOITO RECH CASAREDO NEO CHOC+BAUNILHA 130G;1,98;164,00;7896408441551
BISCOITO RECH CASAREDO YUPI CHOC. BRANCO 130G;1,50;54,00;7896408440455
BISCOITO RECH CASAREDO YUPI CHOCOLATE 130G;1,50;70,00;7896408440424
BISCOITO RECH CASAREDO YUPI MORANGO 130G;1,50;36,00;7896408440448
BISCOITO TRAKINAS CHOCOLATE 136G;2,45;21,00;7622300741013
BISCOITO TRAKINAS CHOCOLATE/BRANCO 136G;2,45;21,00;7622300741297
BISCOITO TRAKINAS MORANGO 136G;2,45;28,00;7622300741044
BISCOITO TRAKINAS MORANGO/CHOCOLATE 136G;2,45;13,00;7622300741235
BISCOITO TRIUNFO TORTINI CHOCO CREME 140G;1,59;77,00;7896058255171
BISCOITO TRIUNFO TORTINI CHOCOLATE 140G;1,59;142,00;7896058255133
BISCOITO TRIUNFO TORTINI MORANGO 140G;1,59;53,00;7896058255140
BISCOITO TRIUNFO TORTINI NAPOLITANO 140G;1,59;34,00;7896058255164
BISCOITO TRIUNFO TORTINI TRUFA 140G;1,59;3,00;7896058255157
BISCOITO TUCS CHURRASCO 100G;1,50;41,00;7896061302251
BISCOITO TUCS PIMENTA/QUEIJO 100G;1,50;24,00;7896061300622
BISCOITO TUCS PIZZA 100G;1,50;2,00;7896061301865
BISCOITO TUCS QUEIJO100G;1,50;10,00;7896061300189
BISCOITO TUCS TRADICIONAL 100G;1,50;55,00;7896061300677
BISCOITOS ISABELA AO LEITE 400G;5,65;7,00;7896022018320
BOLACHAO DE MEL NINFA 400G;4,60;5,00;7896111420270
BONO NESTLE CHOCOLATE 140G;2,09;297,00;7891000018750
CLUB SOCIAL INTEGRAL SALSA E CEBOLINHA 104G;3,90;6,00;7622300865801
CLUB SOCIAL INTEGRAL TRADICIONAL 156G;4,35;7,00;7893333317456
CLUB SOCIAL MANTEIGA TEMPERADA 150G;3,90;13,00;7622300871055
CLUB SOCIAL ORIGINAL 144G;3,90;63,00;7622300990701
CLUB SOCIAL ORIGINAL 156G;3,50;258,00;7893333289128
CLUB SOCIAL PIZZA 141G;3,90;9,00;7622210641151
CLUB SOCIAL PIZZA 150G;3,50;29,00;7622300053338
CLUB SOCIAL PRESUNTO 141G;3,90;13,00;7622210641632
CLUB SOCIAL PRESUNTO 150G;3,50;34,00;7622300281489
CLUB SOCIAL QUEIJO 141G;3,90;7,00;7622210644534
CLUB SOCIAL SANDUBA 45G;1,95;5,00;7622300845094
COOKIE PARATI BAUNILHA 100G;3,40;40,00;7896011105406
COOKIE PARATI CHOCOLATE 100G;3,40;39,00;7896011105482
COOKIE TODDY 40G;1,60;7,00;7894321222127
COOKIES BAUDUCCO CHOC MAXI 105G;4,20;3,00;7891962035505
COOKIES BAUDUCCO CHOCOLATE 110G;4,20;2,00;7891962026763
COOKIES BAUDUCCO ORIGINAL 110G;4,20;3,00;7891962026756
COOKIES BISTEX INTEGRAL MAMAO/AVEIA 150G;3,69;19,00;7896385006682
EQLIBRI PANETINI PRESUNTO PARMA 40G;2,00;23,00;7892840226343
EQLIBRI PANETINI QUEIJO SUAVE 40G;2,00;29,00;7892840226442
FLAY TOAST PARATI INTEGRAL 120G;3,98;13,00;7896011104652
FLAY TOAST PARATI SALGADO 150G DELETAR;0,00;9,00;7896011104591
FLAY TOAST PARATI ZERO 144G;3,98;14,00;7896011104638
FLOCOS DE ARROZ CORRIERI 100G;3,90;30,00;7896007422876
HOT CRACKER ERVAS FINAS 184G;4,75;1,00;7896011103365
HOT CRACKER PARATI  PIZZA 184G;4,75;9,00;7896011103969
HOT CRACKER PARATI INTEGRAL PERU 184G;4,75;8,00;7896011104997
HOT CRACKER PARATI PRESUNTO 184G;4,75;7,00;7896011100050
HOT CRACKER QUEIJO 184G;4,75;4,00;7896011100395
MOUSSE ISABELA CHOCOLATE 150G;2,00;89,00;7896022057084
MOUSSE ISABELA CHOCOLATE M.AMARGO 150G;2,00;70,00;7896022072681
MOUSSE ISABELA LIMAO+CHOCOLATE 150G;2,00;41,00;7896022057077
MOUSSE ISABELA MORANGO +CHOCOLATE 150G;2,00;62,00;7896022057060
NEGRESCO ECLIPSE 140G;1,99;34,00;7891000086216
NEGRESCO NESTLE 140G;2,09;408,00;7891000023808
NEGRESCO NESTLE 60G;1,00;3,00;7891000106730
NESFIT NESTLE CACAU/CEREAIS 200G;2,95;29,00;7891000089798
NESFIT NESTLE MIX GERGELIM 126G;2,95;4,00;7891000104231
NESFIT NESTLE MORANGO/CEREAIS 120G;1,99;47,00;7891000109885
NESFIT NESTLE MORANGO/CEREAIS 200G;2,95;11,00;7891000089859
OREO ORIGINAL 36G;1,00;9,00;7622300830083
PASSATEMPO AO LEITE NESTLE 150G;2,10;20,00;7891000051436
PASSATEMPO CHOCOLATE 140G;2,10;127,00;7891000051351
PASSATEMPO CHOCOLATE 60G;1,00;5,00;7891000106716
PASSATEMPO COOKIE LEITE / G.CHOCOLATE 60G;2,25;4,00;7891000109298
RECHEADINHO BAUDUCCO CHOCOLATE 130G;3,90;1,00;7891962026329
RECHEADINHO BAUDUCCO GOIABA 140G;3,90;2,00;7891962026305
RECHEADINHO BAUDUCCO MORANGO 140G;3,90;3,00;7891962026343
SEQUILHO MABEL CASEIRO 400G;4,96;2,00;7896071023245
SEQUILHO MABEL NATA 400G;4,96;1,00;7896071022491
SEQUILHO MABEL TRADICIONAL 400G;4,96;2,00;7896071022477
TORRADA ISABELA TRADICIONAL 160G;2,80;9,00;7896022075675
TORRADA PARATI INTEGRAL 140G;4,50;2,00;7896011100432
TORRADA PARATI LIGHT 140G;3,75;1,00;7896011100425
TORTINHAS ISABELA CHOCOLATE 160G;2,00;173,00;7896022056513
TORTINHAS ISABELA CHOCOLATE BRANCO 160G;2,00;51,00;7896022056520
TORTINHAS ISABELA CHOCOLATE SUIÇO 160G;2,00;180,00;7896022074456
TORTINHAS ISABELA CHOCOLATE+AVELA 160G;2,00;110,00;7896022056476
TORTINHAS ISABELA DUE CHOC.BRANCO/F.VERM 160G;2,00;24,00;7896022055578
TORTINHAS ISABELA DUE GOIABA 160G;2,00;43,00;7896022055585
TORTINHAS ISABELA DUE TRUFA/MORANGO 160G;2,00;96,00;7896022055561
TORTINHAS ISABELA LIMAO 160G;2,00;43,00;7896022056537
TORTINHAS ISABELA MORANGO 160G;2,00;43,00;7896022056483
TORTINHAS ISABELA TRUFA 160G;2,00;3,00;7896022075453
TORTINHAS TODDY BAUNILIA 160G;1,59;10,00;7896071024129
WAFER CASAREDO YUPI SPECIALE CHOCOLATE 115G;1,60;56,00;7896408441704
WAFER CASAREDO YUPI SPECIALE FLOCOS 115G;1,60;106,00;7896408441728
WAFER CASAREDO YUPI SPECIALE MORANGO 115G;1,60;18,00;7896408441711
WAFER ISABELA BAUNILHA 145G;1,99;89,00;7896022055936
WAFER ISABELA CHOCOLATE /MORANGO 145G;1,99;39,00;7896022075477
WAFER ISABELA CHOCOLATE 145G;1,99;174,00;7896022055943
WAFER ISABELA CHOCOLATE AVELA 145G;1,99;89,00;7896022056261
WAFER ISABELA CHOCOLATE BRANCO 145G;1,99;57,00;7896022055950
WAFER ISABELA LIMAO 145G;1,99;50,00;7896022055967
WAFER ISABELA MORANGO 145G;1,99;101,00;7896022055974
WAFER ISABELA SUICO 145G;1,99;129,00;7896022075484
WAFER NINFA CHOCOLATE 115G;1,25;39,00;7896111423998
WAFER NINFA MORANGO 115G;1,25;21,00;7896111424025
WAFER PARATI INTEGRAL CHOCOLATE 90G;1,90;4,00;7896011105635
WAFER PARATI INTEGRAL L.MALTADO 90G;1,90;2,00;7896011105918
WAFER PARATI INTEGRAL MORANGO 90G;1,90;2,00;7896011105925
WAFER PARATI OMNI CHOCO/BAUNILHA 90G;1,80;2,00;7896011105581
WAFER PARATI OMNI MINUETO CHOCO/BAUNILHA 115G;1,65;7,00;7896011103761
WAFER PASSION ARCOR CHOCOLATE 120G;2,50;100,00;7896058251593
WAFER PASSION ARCOR CHOCOLATE BRANCO 120G;2,50;89,00;7896058251609
WAFER PASSION ARCOR IOGURTE GREGO 120G;2,35;10,00;7896058256901
WAFER TODDY CHOCOLATE 147G;1,59;102,00;7896071024099
WAFER TODDY TRUFADO 147G;1,59;56,00;7896071024105
WAFER TRIUNFO CHOCOLATE 145G;1,65;10,00;7896058235593
WAFER TRIUNFO CHOCOLATE/AVELA 145G;1,65;7,00;7896058235647
WAFER TRIUNFO LIMAO 145G;1,65;3,00;7896058235630
WAFER TRIUNFO MORANGO 145G;1,65;2,00;7896058235609
BOLO ANA MARIA COBERTA 45G;1,49;44,10;7896002362054
BOLO DE PASCOA PARATI MINUETO CHOCOLATE 450G;14,90;3,00;7896011105864
